50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b675c5cc-a224-45c8-ad92-c2ae25bb945b,1,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3468, 'name': 'Jordan Pickford'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3205, 'name': 'Kyle Walker'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3244, 'name': 'John Stones'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3336, 'name': 'Harry Maguire'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 12}, {'player': {'id': 3382, 'name': 'Luke Shaw'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 4706, 'name': 'Kalvin Phillips'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3943, 'name': 'Declan Rice'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 22084, 'name': 'Bukayo Saka'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3233, 'name': 'Raheem Sterling'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",England,768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,c95b59ae-9639-4a76-97a6-7a555063b962,2,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8808, 'name': 'Matthias Ginter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5572, 'name': 'Mats Hummels'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 6985, 'name': 'Robin Gosens'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 8966, 'name': 'Kai Havertz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 5557, 'name': 'Timo Werner'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Germany,770,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,679ddaae-9590-42d4-9658-aa1af7d0b539,3,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['ec98d56a-6379-45e7-9508-7bd08119e9a4'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ec98d56a-6379-45e7-9508-7bd08119e9a4,4,,,3794688,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,England,768,['679ddaae-9590-42d4-9658-aa1af7d0b539'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b445721f-8215-47f5-a308-c4c707756c87,1815,,,3794688,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Germany,770,['5929f0fd-4e12-4cae-a591-baa983b0af2e'],0,,,,,,,,,,,,,,,,,,England,768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5929f0fd-4e12-4cae-a591-baa983b0af2e,1816,,,3794688,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Germany,770,['b445721f-8215-47f5-a308-c4c707756c87'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.47309,,,,,,,,,,,23a50eb3-7cfe-4522-96e7-b4b09e089c75,5,,"[60.0, 40.0]",3794688,0,,,,,-2.7724638,,Right Foot,,,,"[46.3, 34.7]",,Ground Pass,,14.689452,,,,,Toni Kroos,5574.0,,,,,Kick Off,1,From Kick Off,Timo Werner,5557.0,Center Forward,2,Germany,770,['761bde53-8618-40e0-8181-8001021089a9'],0,,,,,,,,,,,,,,,,,,Germany,770,00:00:00.543,Pass,
,,,,,,,,,,,,,,,,0.644476,,,,,,,,,,,a4b7be76-6516-4bbd-9243-767b52ca6006,7,,"[46.3, 34.9]",3794688,0,,,,,1.6068168,,Right Foot,,,,"[45.9, 46.0]",,Ground Pass,,11.107204,,,,,Leon Goretzka,6324.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Right Defensive Midfield,2,Germany,770,['b6f1a913-f2ad-4145-a89c-257703c3d434'],2,,,,,,,,,,,,,,,,,,Germany,770,00:00:02.016,Pass,
,,,,,,,,,,,,,,,,0.982507,,,,,,,,,,,017cdf07-ce82-4abc-9d10-25fc7eabbc3a,9,,"[46.5, 45.6]",3794688,0,,,,,-2.5123594,,Right Foot,,,,"[32.9, 35.7]",,Ground Pass,,16.821712,,,,,Mats Hummels,5572.0,,,,,,1,From Kick Off,Leon Goretzka,6324.0,Left Defensive Midfield,2,Germany,770,['c03dc76a-cc6a-4633-babe-c66d3e2544c3'],2,,,,,,,,,,,,,,,,,,Germany,770,00:00:02.660,Pass,
,,,,,,,,,,,,,,,,2.093212,,,,,,,,,,,1043be1f-3c9f-46c1-831e-8593540f10c1,12,,"[30.0, 36.1]",3794688,0,,,,,1.1963848,,Right Foot,,,,"[45.6, 75.8]",,High Pass,,42.65501,,,,,Joshua Kimmich,5579.0,,,,,,1,From Kick Off,Mats Hummels,5572.0,Center Back,2,Germany,770,['a26da653-f30f-4fc5-94fe-9420b94b7df6'],4,,,,,,,,,,,,,,,,,,Germany,770,00:00:04.816,Pass,
